Date,BBL.BK,TTB.BK,KBANK.BK,PTTEP.BK,PTT.BK,CPALL.BK,CENTEL.BK,TISCO.BK,CBG.BK,LH.BK
2022-11-14,139.09786987304688,1.3006552457809448,140.78125,178.1080780029297,33.256248474121094,60.78764343261719,47.25,87.0227279663086,93.35237121582031,8.841641426086426
2022-11-15,139.09786987304688,1.310289740562439,140.78125,174.32858276367188,32.76718521118164,60.78764343261719,49.25,87.7008285522461,94.83415222167969,8.794611930847168
2022-11-16,138.12855529785156,1.3199241161346436,141.26837158203125,178.1080780029297,32.76718521118164,60.293434143066406,47.5,88.15288543701172,94.34022521972656,8.653521537780762
2022-11-17,138.61322021484375,1.310289740562439,139.80697631835938,176.69078063964844,32.27812576293945,61.77606201171875,47.25,87.2487564086914,95.32808685302734,8.794611930847168
2022-11-18,138.12855529785156,1.310289740562439,139.31985473632812,176.69078063964844,32.76718521118164,62.02316665649414,45.75,87.2487564086914,95.32808685302734,8.747581481933594
2022-11-21,138.12855529785156,1.310289740562439,138.8327178955078,176.2183380126953,32.52265548706055,62.270267486572266,46.5,87.0227279663086,94.09326171875,8.747581481933594
2022-11-22,139.58253479003906,1.3199241161346436,139.80697631835938,174.801025390625,32.52265548706055,62.517372131347656,47.0,87.2487564086914,93.35237121582031,8.794611930847168
2022-11-23,139.58253479003906,1.3391931056976318,139.31985473632812,182.83242797851562,33.01171875,62.02316665649414,47.0,87.7008285522461,92.85844421386719,8.888671875
2022-11-24,140.55186462402344,1.3391931056976318,139.80697631835938,179.52537536621094,33.01171875,62.517372131347656,48.25,87.7008285522461,93.10540771484375,8.747581481933594
2022-11-25,140.06719970703125,1.3295586109161377,139.80697631835938,176.2183380126953,33.01171875,62.02316665649414,48.75,87.7008285522461,92.61148071289062,8.794611930847168
2022-11-28,139.58253479003906,1.3199241161346436,139.80697631835938,173.8561553955078,32.52265548706055,61.77606201171875,48.5,87.2487564086914,92.61148071289062,8.794611930847168
2022-11-29,140.55186462402344,1.3295586109161377,141.75550842285156,178.1080780029297,32.52265548706055,62.76447677612305,48.25,87.47479248046875,93.35237121582031,8.888671875
2022-11-30,139.58253479003906,1.348827600479126,140.78125,177.63565063476562,32.52265548706055,64.24710083007812,49.5,88.15288543701172,94.34022521972656,9.029762268066406
2022-12-01,140.55186462402344,1.3391931056976318,140.2941131591797,175.74591064453125,32.52265548706055,64.98841857910156,48.25,88.3789291381836,94.34022521972656,9.029762268066406
2022-12-02,139.09786987304688,1.3295586109161377,138.8327178955078,172.43885803222656,32.27812576293945,64.0,48.5,87.9268569946289,94.58718872070312,8.888671875
2022-12-06,138.61322021484375,1.3295586109161377,138.3455810546875,170.5491180419922,32.033592224121094,63.01158142089844,48.5,87.7008285522461,94.34022521972656,8.982731819152832
2022-12-07,138.12855529785156,1.3295586109161377,138.8327178955078,166.2971954345703,31.544530868530273,64.0,48.0,88.3789291381836,93.59933471679688,9.029762268066406
2022-12-08,138.12855529785156,1.3199241161346436,138.3455810546875,162.9901580810547,31.05546760559082,64.0,48.0,88.6049575805664,93.35237121582031,9.029762268066406
2022-12-09,138.12855529785156,1.310289740562439,139.31985473632812,162.0452880859375,31.299999237060547,63.75289535522461,48.0,88.83098602294922,94.34022521972656,8.982731819152832
2022-12-13,140.06719970703125,1.310289740562439,139.80697631835938,165.35232543945312,31.299999237060547,64.49420928955078,48.0,89.2830581665039,94.34022521972656,9.029762268066406
2022-12-14,139.09786987304688,1.3295586109161377,138.3455810546875,164.40745544433594,31.05546760559082,65.23551940917969,48.5,89.50908660888672,95.82201385498047,9.029762268066406
2022-12-15,139.09786987304688,1.3295586109161377,139.31985473632812,163.46258544921875,30.810935974121094,64.49420928955078,48.25,89.2830581665039,95.08112335205078,9.029762268066406
2022-12-16,139.09786987304688,1.310289740562439,139.80697631835938,162.9901580810547,30.56640625,65.23551940917969,48.5,89.2830581665039,95.5750503540039,9.123822212219238
2022-12-19,139.09786987304688,1.3006552457809448,140.2941131591797,156.84849548339844,30.56640625,65.23551940917969,48.5,89.2830581665039,95.08112335205078,9.21788215637207
2022-12-20,139.58253479003906,1.310289740562439,139.31985473632812,157.3209228515625,30.56640625,64.49420928955078,48.5,89.50908660888672,93.35237121582031,9.21788215637207
2022-12-21,140.06719970703125,1.310289740562439,140.78125,157.3209228515625,30.321874618530273,65.23551940917969,50.0,90.18718719482422,92.36451721191406,9.170851707458496
