iters,time
524,3.409385681152344e-05
525,3.409385681152344e-05
526,3.4332275390625e-05
527,3.4332275390625e-05
528,3.4332275390625e-05
529,3.4332275390625e-05
530,3.4332275390625e-05
531,3.457069396972656e-05
532,3.457069396972656e-05
533,3.457069396972656e-05
534,3.457069396972656e-05
535,3.4809112548828125e-05
536,3.4809112548828125e-05
537,3.4809112548828125e-05
538,3.4809112548828125e-05
539,3.4809112548828125e-05
540,3.504753112792969e-05
541,3.504753112792969e-05
542,3.504753112792969e-05
543,3.504753112792969e-05
544,3.504753112792969e-05
545,3.528594970703125e-05
546,3.528594970703125e-05
547,3.528594970703125e-05
548,3.528594970703125e-05
549,3.528594970703125e-05
550,3.552436828613281e-05
551,3.552436828613281e-05
552,3.552436828613281e-05
553,3.552436828613281e-05
554,3.552436828613281e-05
555,3.600120544433594e-05
556,3.600120544433594e-05
557,3.600120544433594e-05
558,3.600120544433594e-05
559,3.600120544433594e-05
560,3.62396240234375e-05
561,3.62396240234375e-05
562,3.62396240234375e-05
563,3.62396240234375e-05
564,3.647804260253906e-05
565,3.647804260253906e-05
566,3.647804260253906e-05
567,3.647804260253906e-05
568,3.719329833984375e-05
569,3.743171691894531e-05
570,3.743171691894531e-05
571,3.743171691894531e-05
572,3.743171691894531e-05
573,3.7670135498046875e-05
574,3.7670135498046875e-05
575,3.7670135498046875e-05
576,3.7670135498046875e-05
577,3.7670135498046875e-05
578,3.790855407714844e-05
579,3.790855407714844e-05
580,3.790855407714844e-05
581,3.790855407714844e-05
582,3.790855407714844e-05
583,3.814697265625e-05
584,3.814697265625e-05
585,3.814697265625e-05
586,3.814697265625e-05
587,3.814697265625e-05
588,3.838539123535156e-05
589,3.838539123535156e-05
590,3.838539123535156e-05
591,3.838539123535156e-05
592,3.838539123535156e-05
593,3.8623809814453125e-05
594,3.8623809814453125e-05
595,3.886222839355469e-05
596,3.886222839355469e-05
597,3.886222839355469e-05
598,3.886222839355469e-05
599,3.910064697265625e-05
600,3.910064697265625e-05
601,3.910064697265625e-05
602,3.910064697265625e-05
603,3.910064697265625e-05
604,3.9577484130859375e-05
605,3.9577484130859375e-05
606,3.9577484130859375e-05
607,3.9577484130859375e-05
608,3.9577484130859375e-05
609,3.981590270996094e-05
610,3.981590270996094e-05
611,3.981590270996094e-05
612,3.981590270996094e-05
613,3.981590270996094e-05
614,4.00543212890625e-05
615,4.00543212890625e-05
616,4.00543212890625e-05
617,4.00543212890625e-05
618,4.029273986816406e-05
619,4.029273986816406e-05
620,4.029273986816406e-05
621,4.029273986816406e-05
622,4.029273986816406e-05
623,4.0531158447265625e-05
624,4.0531158447265625e-05
625,4.0531158447265625e-05
626,4.0531158447265625e-05
627,4.0531158447265625e-05
628,4.076957702636719e-05
629,4.076957702636719e-05
630,4.076957702636719e-05
631,4.076957702636719e-05
632,4.076957702636719e-05
633,4.100799560546875e-05
634,4.100799560546875e-05
635,4.100799560546875e-05
636,4.100799560546875e-05
637,4.100799560546875e-05
638,4.124641418457031e-05
639,4.124641418457031e-05
640,4.124641418457031e-05
641,4.124641418457031e-05
642,4.124641418457031e-05
643,4.1484832763671875e-05
644,4.1484832763671875e-05
645,4.1484832763671875e-05
646,4.1484832763671875e-05
647,4.172325134277344e-05
648,4.172325134277344e-05
649,4.172325134277344e-05
650,4.172325134277344e-05
651,4.172325134277344e-05
652,4.1961669921875e-05
653,4.1961669921875e-05
654,4.291534423828125e-05
655,4.291534423828125e-05
656,4.291534423828125e-05
657,4.315376281738281e-05
658,4.315376281738281e-05
659,4.315376281738281e-05
660,4.315376281738281e-05
661,4.315376281738281e-05
662,4.3392181396484375e-05
663,4.3392181396484375e-05
664,4.3392181396484375e-05
665,4.3392181396484375e-05
666,4.363059997558594e-05
667,4.363059997558594e-05
668,4.363059997558594e-05
669,4.363059997558594e-05
670,4.363059997558594e-05
671,4.38690185546875e-05
672,4.38690185546875e-05
673,4.38690185546875e-05
674,4.38690185546875e-05
675,4.410743713378906e-05
676,4.410743713378906e-05
677,4.410743713378906e-05
678,4.410743713378906e-05
679,4.4345855712890625e-05
680,4.4345855712890625e-05
681,4.4345855712890625e-05
682,4.4345855712890625e-05
683,4.4345855712890625e-05
684,4.458427429199219e-05
685,4.458427429199219e-05
686,4.458427429199219e-05
687,4.458427429199219e-05
688,4.458427429199219e-05
689,4.482269287109375e-05
690,4.482269287109375e-05
691,4.482269287109375e-05
692,4.482269287109375e-05
693,4.482269287109375e-05
694,4.506111145019531e-05
695,4.506111145019531e-05
696,4.506111145019531e-05
697,4.506111145019531e-05
698,4.506111145019531e-05
699,4.5299530029296875e-05
700,4.5299530029296875e-05
701,4.5299530029296875e-05
702,4.5299530029296875e-05
703,4.5299530029296875e-05
704,4.553794860839844e-05
705,4.553794860839844e-05
706,4.553794860839844e-05
707,4.553794860839844e-05
708,4.553794860839844e-05
709,4.57763671875e-05
710,4.57763671875e-05
711,4.57763671875e-05
712,4.57763671875e-05
713,4.601478576660156e-05
714,4.601478576660156e-05
715,4.601478576660156e-05
716,4.601478576660156e-05
717,4.601478576660156e-05
718,4.649162292480469e-05
719,4.649162292480469e-05
720,4.649162292480469e-05
721,4.649162292480469e-05
722,4.649162292480469e-05
723,4.673004150390625e-05
724,4.673004150390625e-05
725,4.673004150390625e-05
726,4.673004150390625e-05
727,4.673004150390625e-05
728,4.696846008300781e-05
729,4.696846008300781e-05
730,4.696846008300781e-05
731,4.696846008300781e-05
732,4.696846008300781e-05
733,4.7206878662109375e-05
734,4.7206878662109375e-05
735,4.7206878662109375e-05
736,4.7206878662109375e-05
737,4.7206878662109375e-05
738,4.792213439941406e-05
739,4.792213439941406e-05
740,4.8160552978515625e-05
741,4.8160552978515625e-05
742,4.8160552978515625e-05
743,4.8160552978515625e-05
744,4.8160552978515625e-05
745,4.839897155761719e-05
746,4.839897155761719e-05
747,4.839897155761719e-05
748,4.839897155761719e-05
749,4.839897155761719e-05
750,4.863739013671875e-05
751,4.863739013671875e-05
752,4.863739013671875e-05
753,4.863739013671875e-05
754,4.863739013671875e-05
755,4.887580871582031e-05
756,4.887580871582031e-05
